Raw_filename1;Raw_filename2;Submission_filename1;Submission_filename2;Folder;SampleName;Sample;Genotype;Construct;Suffix;Name;Genotype_construct
NGS257-1H9_S14.R1.fastq.gz;NGS257-1H9_S14.R2.fastq.gz;pol1B_TAL_6-2_S14.R1.fastq.gz;pol1B_TAL_6-2_S14.R2.fastq.gz;NGS257;pol1B_TAL_6-2_S14;NGS257-1H9_S14;pol1B;TAL-1;S14;pol1B_TAL-1_S14;pol1B_TAL-1
NGS257-3C9_S17.R1.fastq.gz;NGS257-3C9_S17.R2.fastq.gz;pol1B_TAL_6-2_S17.R1.fastq.gz;pol1B_TAL_6-2_S17.R2.fastq.gz;NGS257;pol1B_TAL_6-2_S17;NGS257-3C9_S17;pol1B;TAL-1;S17;pol1B_TAL-1_S17;pol1B_TAL-1
NGS257-3D2_S18.R1.fastq.gz;NGS257-3D2_S18.R2.fastq.gz;pol1B_TAL_6-2_S18.R1.fastq.gz;pol1B_TAL_6-2_S18.R2.fastq.gz;NGS257;pol1B_TAL_6-2_S18;NGS257-3D2_S18;pol1B;TAL-1;S18;pol1B_TAL-1_S18;pol1B_TAL-1
NGS257-3D3_S19.R1.fastq.gz;NGS257-3D3_S19.R2.fastq.gz;pol1B_TAL_6-2_S19.R1.fastq.gz;pol1B_TAL_6-2_S19.R2.fastq.gz;NGS257;pol1B_TAL_6-2_S19;NGS257-3D3_S19;pol1B;TAL-1;S19;pol1B_TAL-1_S19;pol1B_TAL-1
pol1B-6-2-B-1-1H8_S45.R1.fastq.gz;pol1B-6-2-B-1-1H8_S45.R2.fastq.gz;pol1B_TAL_6-2_S45.R1.fastq.gz;pol1B_TAL_6-2_S45.R2.fastq.gz;NGS313;pol1B_TAL_6-2_S45;pol1B-6-2-B-1-1H8_S45;pol1B;TAL-1;S45;pol1B_TAL-1_S45;pol1B_TAL-1
pol1B-6-2-B-2-3C10_S44.R1.fastq.gz;pol1B-6-2-B-2-3C10_S44.R2.fastq.gz;pol1B_TAL_6-2_S44.R1.fastq.gz;pol1B_TAL_6-2_S44.R2.fastq.gz;NGS313;pol1B_TAL_6-2_S44;pol1B-6-2-B-2-3C10_S44;pol1B;TAL-1;S44;pol1B_TAL-1_S44;pol1B_TAL-1
pol1B-UP-B-1-3F6_S43.R1.fastq.gz;pol1B-UP-B-1-3F6_S43.R2.fastq.gz;pol1B_TAL_UP_S43.R1.fastq.gz;pol1B_TAL_UP_S43.R2.fastq.gz;NGS313;pol1B_TAL_UP_S43;pol1B-UP-B-1-3F6_S43;pol1B;TAL-2;S43;pol1B_TAL-2_S43;pol1B_TAL-2
pol1B-UP-B-2-2A1_S42.R1.fastq.gz;pol1B-UP-B-2-2A1_S42.R2.fastq.gz;pol1B_TAL_UP_S42.R1.fastq.gz;pol1B_TAL_UP_S42.R2.fastq.gz;NGS313;pol1B_TAL_UP_S42;pol1B-UP-B-2-2A1_S42;pol1B;TAL-2;S42;pol1B_TAL-2_S42;pol1B_TAL-2
pol1B-UP-B-2-2B2_S41.R1.fastq.gz;pol1B-UP-B-2-2B2_S41.R2.fastq.gz;pol1B_TAL_UP_S41.R1.fastq.gz;pol1B_TAL_UP_S41.R2.fastq.gz;NGS313;pol1B_TAL_UP_S41;pol1B-UP-B-2-2B2_S41;pol1B;TAL-2;S41;pol1B_TAL-2_S41;pol1B_TAL-2
NGS354_RadA-3_BM1_NA_D1_S9.R1.fastq.gz;NGS354_RadA-3_BM1_NA_D1_S9.R2.fastq.gz;RadA-3_Col-0_S9.R1.fastq.gz;RadA-3_Col-0_S9.R2.fastq.gz;NGS354;RadA-3_Col-0_S9;RadA-3_S9;RadA-3;no-TAL;S9;RadA-3_no-TAL_S9;RadA-3_no-TAL
